"","Country_Region","Deaths","Confirmed","Recovered"
"1","Algeria",105,1171,62
"2","Austria",168,11524,2022
"3","Belgium",1143,16770,2872
"4","Brazil",359,9056,127
"5","Canada",179,12096,0
"6","China",3326,81586,75891
"7","Denmark",139,3757,1193
"8","Ecuador",145,3368,65
"9","France",6520,64761,14071
"10","Germany",1275,91159,24575
"11","Indonesia",181,1986,134
"12","Iran",3294,53183,17935
"13","Ireland",120,4273,5
"14","Italy",14681,119827,19758
"15","Korea, South",174,10062,6021
"16","Netherlands",1490,15757,259
"17","Philippines",136,3018,52
"18","Portugal",246,9886,68
"19","Romania",133,3183,283
"20","Spain",11198,119199,30513
"21","Sweden",358,6131,205
"22","Switzerland",591,19606,4846
"23","Turkey",425,20921,484
"24","United Kingdom",3611,38542,148
"25","US",7087,258212,0
